image_url,image_path,hate_final,appropriate_final,topic,topic_id,ocr,caption
https://dl.dropboxusercontent.com/scl/fi/dj6g3gcjpgre2cw99744g/1215858673876300.jpeg?rlkey=213gkmmuos2b6jfy1bu4gc0hc,1215858673876300.jpeg,not hate,appropriate,gender,Jenis Kelamin,"Pria se gagah ini aslinya
pingin main di sini juga","Potret wahana tiup anak di malam hari ini secara humoris menunjukkan bahwa hiburan bermain menarik semua, termasuk mereka yang gagah."
https://dl.dropboxusercontent.com/scl/fi/jkn25sqcfgprrjzo3nldv/2384200351784301.jpeg?rlkey=hafyh48vkwxcxp4j7i1t6hunv,2384200351784301.jpeg,hate,inappropriate,"individual, political","Individu, Politik","THE LIFE OF
MULYONO
THE LIFE OF
MULYONO
THE LIFE OF
MULYONO
THE LIFE OF
MULYONO
THE LIFE OF
MULYONO
THE LIFE OF
MULYONO
THE LIFE OF
MULYONO
OKE / GAS
OKE / GAS
OKE / GAS
OKE / GAS
OKE / GAS
OKE / GAS
OKE / GAS
OKE / GAS
OKE / GAS
OKE / GAS","Presentasi visual ini mendeskripsikan kehidupan Mulyono melalui potret keluarga dan pasangan, diselingi teks berulang serta frasa ""OKE / GAS"" yang menyiratkan semangat."
https://dl.dropboxusercontent.com/scl/fi/58v07rvaikhppxzo4phe4/1071030778391842.jpeg?rlkey=u3aal58k8p3t905r84fk53yoa,1071030778391842.jpeg,not hate,appropriate,,Tidak Ada/Umum/Acak,Tolong jangan ngepost,"Visual ini memperlihatkan seorang pria disertai teks ""Tolong jangan ngepost"", mengindikasikan himbauan untuk menahan diri dalam publikasi konten."
https://dl.dropboxusercontent.com/scl/fi/ye8f232tb9wlhzqcwl7g2/3888886014683479.jpeg?rlkey=2pr15ngzuvwx7qkg0wdppj1cw,3888886014683479.jpeg,hate,inappropriate,social sub-groups,Kelompok Sosial,"punya apa km
mau lamar anak saya?
gapunya apa2 pak
cuma modal cinta
sama niat
*lawak lu unggas
Awokawok",Meme ini menggambarkan penolakan lamaran berbekal cinta melalui dialog dan ekspresi humoris terhadap realitas finansial.
https://dl.dropboxusercontent.com/scl/fi/1cxkpcgtqbzckxv115iyj/1024817046442501.jpeg?rlkey=9bisttmzvvrkh697rfikjw8d3,1024817046442501.jpeg,hate,inappropriate,"national origin, political","Suku/Etnis/Ras, Politik","*gedung WTC roboh karena baja struktur bangunan meleleh terbakar bahan bakar jet*

*paspor orang Arab*",Visual ini menampilkan meme seorang pria yang mengontraskan penjelasan resmi runtuhnya WTC dengan implikasi prasangka terkait paspor Arab.
https://dl.dropboxusercontent.com/scl/fi/1re9bv9byar73c9sjhj8p/891664375452947.jpeg?rlkey=158w1vcjvmkz43czennmit6l3,891664375452947.jpeg,hate,inappropriate,"social sub-groups, gender","Kelompok Sosial, Jenis Kelamin",sinetron lovers vs cosplayer (anime lovers),"Visual ini mengkontraskan penggemar sinetron dan cosplayer, menyoroti perbedaan nilai serta gaya hidup dengan kritik sosial."
https://dl.dropboxusercontent.com/scl/fi/ry6ph69agb4luxhg6szuj/2447707485575876.jpeg?rlkey=209cjlnlo3u0sjae1wo2brfx1,2447707485575876.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,gw: karena pengen bikin bulet,"Visual ini mempertanyakan motif awal merokok, dijawab karakter Woody dengan alasan sepele membentuk lingkaran asap, menyampaikan kritik satir."
https://dl.dropboxusercontent.com/scl/fi/p5xay34ndun1hol48ued8/499681009616993.jpeg?rlkey=m0nqxp4rq42bd7z2ngmhq73xe,499681009616993.jpeg,not hate,appropriate,religion,Agama,"JHON SNOWICK REVIL
Oy pada mau kemana.. ikut dong
Mau puter arah bang kita udah terlalu jauh sama Allah, waktunya kembali ke jalan yg benar.
Ya udah.. Gass","Visual ini menunjukkan Vin Diesel setuju mengikuti Spongebob dan Patrick untuk kembali ke jalan spiritual yang benar, menyiratkan ajakan menuju kebaikan."
https://dl.dropboxusercontent.com/scl/fi/9dkj8fhqqfkza2voprnvi/3187083118214292.jpeg?rlkey=adqx1704o1v7f4gngaidv6784,3187083118214292.jpeg,hate,inappropriate,"individual, institutions","Individu, Institusi/Perusahaan","Dulu kulit saya putih
Setelah berobat ke klinik Tong Fang, saya jadi hitam
KLINIK TONG FANG BANGSAT !!!",Potret seorang individu menyampaikan keluhan mendalam mengenai dugaan perubahan warna kulit akibat pengobatan di Klinik Tong Fang.
https://dl.dropboxusercontent.com/scl/fi/rysptpiyq86ii2l2nrscv/989588113203613.jpeg?rlkey=hdp732otk65srms3nvb19immh,989588113203613.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,Maratahon Squid Game 1 & 2 Maratahon Benteng Takeshi Jepang Episode 1 sampai End imgflip.com,Meme Drake ini secara visual menyampaikan preferensi untuk maraton Benteng Takeshi Jepang daripada Squid Game.
https://dl.dropboxusercontent.com/scl/fi/qrxgb03c04qyoexyq94em/1083896923771264.jpeg?rlkey=z9kq2uyui05dv7vh8rh5dbj7o,1083896923771264.jpeg,hate,inappropriate,institutions,Institusi/Perusahaan,"2 Capture Time:2024-11-12 14:48:17 Plate vehicle Speed:040km/h Violation Type: lmet Speed Limit:070km/h MINDAHIN MOTOR DARI PARKIR TAK PAKAI HELM KENA ETLE, MENYALALA KANG PARKIR Ga ada yg mau ngetes jalan kaki sambil nenteng plat nomor kah? Kali aja ketilang Fesnuk Yaa Saya","CCTV merekam pria memindahkan motor tanpa helm dan dikenai ETLE, mengindikasikan ketatnya penegakan aturan lalu lintas."
https://dl.dropboxusercontent.com/scl/fi/5flf95e42f4z6t0yje1ck/3080101638808914.jpeg?rlkey=nyszhteas2upgdhelrpacbphf,3080101638808914.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"Untuk menerik wisatawan, desa Xilinshui di Tiongkok menciptakan kode QR raksasa yang terdiri dari 130.000 pohon. Ketika dipindai dari langit, ia mengarahkan wisatawan ke situs pariwisata provinsi tersebut. Idenya sudah ada sejak tahun 2017, namun tetap sama menakjubkannya hingga saat ini.",Sebuah kode QR raksasa dari pohon di Tiongkok berfungsi sebagai inovasi daya tarik wisata yang unik dan cerdas.
https://dl.dropboxusercontent.com/scl/fi/672qvkmvw8uzx5no6effp/1000398055077762.jpeg?rlkey=02rpwy56urzdm9xajkxs49zg5,1000398055077762.jpeg,not hate,appropriate,"individual, gender","Individu, Jenis Kelamin","Onii-chan mau?
Gak
Jijik bekas mulut lo","Gambar ini menampilkan seorang anak menawarkan minuman yang ditolak secara humoris oleh karakter anjing, merefleksikan dinamika berbagi dalam konteks meme."
https://dl.dropboxusercontent.com/scl/fi/6ors4dw8hms1zwxufzzej/985881313625516.jpeg?rlkey=3h5qvxovcknt52k0r880bmr2c,985881313625516.jpeg,hate,inappropriate,social sub-groups,Kelompok Sosial,"Vegan ketika gw kasih sate jamur
(Btw jamurnya jamur tai sapi)
@JAUHAR YASHIKI","Visual ini menampilkan karakter bermata merah, mengilustrasikan reaksi intens setelah mengonsumsi sate jamur yang disiratkan sebagai halusinogen."
https://dl.dropboxusercontent.com/scl/fi/p5j91j0kjxgtwylwgla6z/4000801556826381.jpeg?rlkey=ozgluho9y36kb3vzoo2l0m318,4000801556826381.jpeg,not hate,appropriate,religion,Agama,"Malas amat
Bismillahi tawakkaltu",Meme ini menggambarkan perubahan sikap menghadapi ancaman: dari enggan ('malas amat') menjadi berserah diri ('bismillahi tawakkaltu') demi keselamatan.
https://dl.dropboxusercontent.com/scl/fi/1tsja6hmphhv1ldzbu1xy/651726830095976.jpeg?rlkey=2yh2td1hwo05ybx1azsursgc8,651726830095976.jpeg,not hate,appropriate,religion,Agama,"GW PAS SHALAT JUMAT BERDOA AGAR PUNYA BANYAK UANG KEMUDIAN ORANG DISEBELAH GW NGASIH KOTAK BERISIKAN UANG YANG BANYAK

HANYA PADA

Aku meminta","Meme satir ini menunjukkan doa meminta rezeki yang seolah langsung dikabulkan sesama, ironis dengan deklarasi hanya meminta pada Tuhan."
https://dl.dropboxusercontent.com/scl/fi/nwbmc2nvzyngt3sx9eur3/122115528428710052.jpeg?rlkey=mksgrahyuel2195ewlieog29x,122115528428710052.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,Yazz Aryskz,"Visual animasi ini menampilkan dialog humoris antara seorang anak dan kakek, menyoroti loyalitas terhadap hobi anime yang tak lekang oleh usia."
https://dl.dropboxusercontent.com/scl/fi/r3le266qtduz54oy972r8/122143478306682172.jpeg?rlkey=f4istpf3wjyeyqb5s7gpp8nnt,122143478306682172.jpeg,hate,inappropriate,social sub-groups,Kelompok Sosial,"""Dengarkan
Umur maksimal babi bisa mencapai 27 tahun, tergantung dari jenisnya.
""Aku:""
""Temanku usia 26!""","Visual humoris ini menampilkan seseorang yang gelisah terkait usia, membandingkan umur maksimal babi (27 tahun) dengan usia temannya (26 tahun)."
https://dl.dropboxusercontent.com/scl/fi/szgnrnbzdtvfaz4s744c4/1109388024113608.jpeg?rlkey=2lqs7lr4mplv0arr9ia3kfykh,1109388024113608.jpeg,hate,inappropriate,individual,Individu,"who tf asked for
Irwan Prasetiyo digantung","Visual ini menampilkan Santa Claus yang mempertanyakan permintaan tak lazim untuk menggantung Irwan Prasetiyo, menyoroti ketidaksesuaian."
https://dl.dropboxusercontent.com/scl/fi/7r7sk7oz4rvtsoox1ms1l/635616115852235.jpeg?rlkey=6rlmfw7vp9u4ssxkwg6kjq1lc,635616115852235.jpeg,hate,inappropriate,social sub-groups,Kelompok Sosial,"I'm gonna
act super
cute...
PEMUDA PANCASILA
PIMPINAN RANTING
PEMUDA PANCASILA
KELURUHAN PEGADUNGAN KECAMATAN KALIDERES
""PANCASILA ABADI"" 2023
Nomor : 001/PRT-PP/POD/IV/23
Jakarta, 02 APRIL
Dengan hormat,
Pasi spesialisatit Tahun Yang Haha Esa, Sengga Repak / iu seol, sebaliknya","Visual ini secara satir menyoroti kontras antara citra tegas organisasi Pemuda Pancasila dan ekspresi permohonan THR yang dilembutkan, didukung dokumen resmi."
https://dl.dropboxusercontent.com/scl/fi/rswdh9wbaytndwihus7u9/1885507878869488.jpeg?rlkey=x9baauqcdygqeae8cw9db680z,1885507878869488.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,Warteg ketika bulan puasa:,"Spanduk Arsenal dengan meriam seolah menembak di samping Warteg Saudara, menyiratkan humor terkait operasional warung makan saat bulan puasa."
https://dl.dropboxusercontent.com/scl/fi/gm0f6yh3mlm66yxpqqnl3/1383870792947141.jpeg?rlkey=qmj3xv021letmztbgqgg214kv,1383870792947141.jpeg,not hate,appropriate,,Tidak Ada/Umum/Acak,Seekor singa akan bekerja.,"Potret monokromatik singa bermata kuning ini, dengan pesan ""Seekor singa akan bekerja"", melambangkan kekuatan dan dedikasi dalam bertindak."
https://dl.dropboxusercontent.com/scl/fi/ettp0a44nyybvmzwj8k3y/969832025179222.jpeg?rlkey=tqbjh6fdnhsahwwynbm75rldl,969832025179222.jpeg,not hate,inappropriate,"institutions, social sub-groups","Institusi/Perusahaan, Kelompok Sosial","Banyak yang haus di jalan dan untuk pengganti ion tubuh

Lubang minumnya besar, bisa masuk P*enis buat kencing di dalam kendaraan","Visual ini menampilkan diagram penyebab lonjakan penjualan Mizone saat mudik, kontras antara kebutuhan hidrasi dan kegunaan praktis botolnya."
https://dl.dropboxusercontent.com/scl/fi/n9ppvkelphndmt8odrdml/1003123115181979.jpeg?rlkey=ltmk5wge63f41xe9f1bryhezd,1003123115181979.jpeg,hate,inappropriate,"institutions, political, social sub-groups","Institusi/Perusahaan, Politik, Kelompok Sosial","kemaren
nanti 12% ya
Januari
kami blablabla
12% berlaku 1
Januari
pemerintah
penyedia
pengguna
Hari ini
gajadi lah ya 12%
""bangsat""
pemerintah
penyedia
pengguna
pengguna
pengguna
pengguna
pengguna
pengguna","Menggambarkan dampak pembatalan kebijakan pemerintah, memicu frustrasi penyedia dan menyulut kemarahan pengguna yang salah sasaran."
https://dl.dropboxusercontent.com/scl/fi/tzxsx2muo62a74dcdqu0i/972738548221903.jpeg?rlkey=syqjbd0k5s5kzfn0ygru9spas,972738548221903.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"NAIK DELMAN ISTIMEWA KUDUDUK DIMUKA
UNTUK MELIHAT SEBUAH MARCHING BAND,
DIA BERKATA, ""NAK, KETIKA KAMU DEWA SAWA,
APAKAN KAMU AKAN MENJADI JURUSELAMAT BAGI MEREKA YANG TERLUKA,
YANG TERTINDAS DAN TERHARA?""",Ilustrasi seorang anak di persimpangan ini merefleksikan pilihan hidup antara kesenangan masa kecil dan tuntutan moral dewasa.
https://dl.dropboxusercontent.com/scl/fi/gjolxmfaype6qa5h3aul4/909647684530990.jpeg?rlkey=zxm7ygrysk2c5mjw5lq80vleh,909647684530990.jpeg,hate,inappropriate,social sub-groups,Kelompok Sosial,"Toko yang dibutuhkan pecandu judi Online :
Brains
25c
DRIVE IN
DONUTS
DONUTS
DO-NUTS
TRUCK STOP","Foto hitam-putih sebuah bangunan tua dengan tanda ""BRAINS 25¢"" secara satir mengacu pada kebutuhan ""otak"" bagi pecandu judi daring."
https://dl.dropboxusercontent.com/scl/fi/67qewymh5338o1xzauv9e/2425679991140525.jpeg?rlkey=df3kzl5tghz6nag3ygmtvra7j,2425679991140525.jpeg,not hate,appropriate,,Tidak Ada/Umum/Acak,"DIAM MENCARI MAKAN
BERGERAK MEMBUAT ORANG KECELAKAAN",Visual ini mengilustrasikan kontras antara ketenangan yang produktif dan pergerakan yang berpotensi menimbulkan masalah.
https://dl.dropboxusercontent.com/scl/fi/dohlri3m8k2zc3u073bav/1346222702539554.jpeg?rlkey=h4lqrmywkds2ts88ijsutacch,1346222702539554.jpeg,hate,inappropriate,social sub-groups,Kelompok Sosial,"SimSimi
Talk
Teach
Quotes
sim
Dalem
tau coboy junior
tau, mereka itu pengikut dajjal, masa' si bastian itu pose gaya illuminati? d
asar anak2 yg gak berpendidikan!!! b
isanya cuma nyanyi, dance, n pacar an! xP Simi ACJR
sip
yosh
SimSimi learned 21,153,023 sentences.
Bahasa Indonesia
Send","Antarmuka SimSimi menunjukkan interaksi pengguna yang menyampaikan opini kontroversial tentang grup musik, direspon singkat oleh AI pembelajar."
https://dl.dropboxusercontent.com/scl/fi/4b6nnms08l02g24i6vzgm/1249419356776140.jpeg?rlkey=jac8tpmmfwgqnfu49mk22pilo,1249419356776140.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"HARI INI AKU Akan MEMPELAJARI HTML, CSS, JAVA SCRIPT,......
Jam 03:00 :",Visual ini menampilkan kontras antara aspirasi belajar pemrograman dan realitas prokrastinasi melalui media sosial di larut malam.
https://dl.dropboxusercontent.com/scl/fi/imskpaprbaeb228afiutp/3992677917638745.jpeg?rlkey=2tup0u1fnrzz4deaau0odrllf,3992677917638745.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"An admin approved your photo in Perkumpulan Orang
Santai: Total.
Ijul Ijul accepted your friend request.",Gambar ini menunjukkan karakter Shrek berekspresi tenang setelah menerima notifikasi positif dari interaksi media sosial.
https://dl.dropboxusercontent.com/scl/fi/917zlga3gemnexbmx4add/2575081949547126.jpeg?rlkey=r4jtbyvxgpgn1v5q3qfsoq8cc,2575081949547126.jpeg,hate,inappropriate,national origin,Suku/Etnis/Ras,"""Incredible... 347 headlines, 347 correct guesses...""","Visual ini secara humoris menggambarkan akurasi prediksi berbasis stereotip etnis di Indonesia, disimpulkan melalui observasi pola yang konsisten."
https://dl.dropboxusercontent.com/scl/fi/kfg6k9vm9y99qpfqk7v7o/122184082226270588.jpeg?rlkey=q7rwojh0quonxyy2rhlxsqcf3,122184082226270588.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,Ngabut ajirr,"Sosok kartun ungu berkacamata hitam dengan lidah menjulur ini, bersama tulisan ""Ngabut ajirrr"", secara visual menggambarkan kondisi kebosanan ekstrem."
https://dl.dropboxusercontent.com/scl/fi/u2flt0xrjav37uf0d2pkc/628019036025724.jpeg?rlkey=i2f164iye2gtgfdrczl04tmjb,628019036025724.jpeg,not hate,appropriate,"individual, political","Individu, Politik","KONSER COLDPLAY
KAM潘YE AKBAR PRABOWO","Visual ini mengontraskan keramaian sebelum konser Coldplay dengan kepadatan massa pada kampanye akbar Prabowo, mengindikasikan dukungan kuat."
https://dl.dropboxusercontent.com/scl/fi/ntoa2v9tau7959xq3w5uf/122137374224527442.jpeg?rlkey=icqcy5maszync4krhm4anm5x8,122137374224527442.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,Tanpa disadari kita adalah angkatan terakhir yang gak main HP di masa kecil.,"Ilustrasi ini menggambarkan nostalgia masa kecil bebas gawai, menegaskan bahwa generasi ini adalah yang terakhir merasakannya."
https://dl.dropboxusercontent.com/scl/fi/s4codzj30ti6umneblbb1/596365176676798.jpeg?rlkey=9wvhdt1pw6wwt7r58gxqifvb4,596365176676798.jpeg,not hate,appropriate,"individual, political","Individu, Politik","Ko
SEDANG MELIHAT DIA
BERSAMA ORANG LAIN","Visual ini menampilkan seorang pria menatap dengan tangan di dahi, menyimbolkan pengamatan terhadap pihak yang kini bersama orang lain, menyiratkan ironi situasional."
https://dl.dropboxusercontent.com/scl/fi/sd3pggeoe4k8x0rpi1u88/122218794434248081.jpeg?rlkey=b3o4247rs98r9x0en57bukqmg,122218794434248081.jpeg,hate,inappropriate,national origin,Suku/Etnis/Ras,"(BEUNGEUT SIA...)
~ SANGKURIANG ANAK ANJING!
~ SANGKURIANG CUCU BABI!","Gambar ini memperlihatkan Sangkuriang yang kesal di antara reruntuhan candi, menjadi objek ejekan dua sosok yang berbisik."
https://dl.dropboxusercontent.com/scl/fi/4lg4kbysoi0xazehhdjod/122155318718565213.jpeg?rlkey=4v0oxlqhea5o2b4r4rchllgqz,122155318718565213.jpeg,not hate,appropriate,individual,Individu,Di jemput martin,"Visual ini menampilkan seorang pria muda tersenyum di latar langit biru, mengulurkan tangan sebagai isyarat undangan atau penyambutan, seringkali dengan makna humoris 'penjemputan'."
https://dl.dropboxusercontent.com/scl/fi/evb8q3kx3e0025ipd5l13/2735806253286003.jpeg?rlkey=yk2rggcdob2h8q3wzf8fdsmxp,2735806253286003.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"tas yang selalu kita keluhkan ""berat"" pas sekolah, ternyata beban paling ringan di hidup kita",Konten visual ini menampilkan ekspresi kontemplatif yang mengiringi pesan reflektif tentang beban sekolah sebagai yang teringan dalam hidup.
https://dl.dropboxusercontent.com/scl/fi/hos9u37r786p5x1bj9y1b/702997169087568.jpeg?rlkey=ijyp9jggga3em7ugco0ddoef8,702997169087568.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"ketika lu pake
hoodie di kuplukin
yang lu
rasakan : yang orang lain lihat :","Visual ini menyajikan kontras antara persepsi individu saat berhoodie dengan tudung, dan pandangan orang lain yang mungkin berbeda."
https://dl.dropboxusercontent.com/scl/fi/pu097j2zcvgardoquy71c/1000107838869530.jpeg?rlkey=ku2g9g538nyf75fmw3ojr09nu,1000107838869530.jpeg,hate,inappropriate,"individual, political","Individu, Politik","Jauhar Yashiki
Orang yang memperbolehkan
nambang di Raja Ampat
Light, gak gitu cara make bukunya
DEATH NOTE","Gambar ini menyajikan kritik satir menggunakan karakter Death Note terhadap isu perizinan tambang di Raja Ampat dan penanganan terkait, menyoroti ketidaksesuaian tindakan."
https://dl.dropboxusercontent.com/scl/fi/r87e60fjhn7cn9g1s5yba/299179382727678.jpeg?rlkey=9krxmd8fiwjkug9ir9e9s94ob,299179382727678.jpeg,hate,inappropriate,"gender, individual, political","Jenis Kelamin, Individu, Politik","""masa bayi doang yang boleh nendang ibu ibu hamil!""",Visual ini mengombinasikan potret seorang tokoh resmi dengan pernyataan humoris mengenai perlindungan ibu hamil.
https://dl.dropboxusercontent.com/scl/fi/7476vfutsx57sagbx3vzo/1124312541860334.jpeg?rlkey=q8qzgyxtqb2i8ehkn30s50f2q,1124312541860334.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,@thepopoh,"Visual humor ini menampilkan balita dengan pisau yang berinteraksi dalam dinamika permintaan, penawaran, dan penarikan uang seribu rupiah."
https://dl.dropboxusercontent.com/scl/fi/oxob71ru3cw9ffl9lkjq1/122162347904285343.jpeg?rlkey=hmzvakg22frp60fai6n6kml65,122162347904285343.jpeg,not hate,appropriate,individual,Individu,"STROBERI MANGGA APEL
👇👍👍",Konten ini memperlihatkan seorang pria muda mengenakan celemek merah sedang mempraktikkan tren viral 'Stroberi Mangga Apel' dengan gestur tangan dan emoji.
https://dl.dropboxusercontent.com/scl/fi/wwusqojlmvz1l2g4dth2f/1068885665021273.jpeg?rlkey=dvwe8jr5j5y6bhnbhrzy1rb2i,1068885665021273.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"LOOKIN' GOOD, SUSAN.
AWWW, YOU'RE SWEET.
Kuota mau habis? Gunakan pulsa siaga Rp 10000 seharga Rp 12000, akan kami potong pada pengisian pulsa berikutnya. Balas OK untuk menerima.",Komik ini mengilustrasikan kontras antara reaksi positif terhadap pujian dan kekesalan akibat tawaran pulsa prabayar yang merugikan.
https://dl.dropboxusercontent.com/scl/fi/3rq31aut12ijmp4g2pp6i/122214455498252821.jpeg?rlkey=w97if4qtcob6inrqz1q4he5z8,122214455498252821.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"Multitalenta:
Bisa makan sambil mikirin diet",Visual ini secara satir menyoroti 'multitalenta' ironis dalam mengonsumsi banyak makanan sambil tetap memikirkan diet.
https://dl.dropboxusercontent.com/scl/fi/yukgju56rzzajsrv5yaiu/592981633713467.jpeg?rlkey=7bg3yzqy2zc2yjte2y4f5890z,592981633713467.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"Emak:kamu jangan asal berteman dengan orang, harus pinter-pinter memilih teman!! 
Gw yg baru aja nemuin gorila baik:
FOXZY","Swafoto pria bersama gorila ini menyiratkan ironi nasihat tentang seleksi pertemanan, menampilkan ikatan yang tak terduga."
https://dl.dropboxusercontent.com/scl/fi/b6dlpvw3d5uxfnge5hgmr/122222546222214405.jpeg?rlkey=no9p3m355f6fnzidc8m417jg8,122222546222214405.jpeg,not hate,appropriate,,Tidak Ada/Umum/Acak,"kamu tau ngakak, persamaan kamu sama rumah kamu?
gatau
sama-sama menghitam
udah gausah nangis
belum tentu dia bohong","Visual ini menyajikan komik humor gelap antar karakter animasi, menunjukkan dampak lelucon ""persamaan"" yang memicu tangisan dan tanggapan ironis."
